SpecimenID;Surface Area;Volume;AbsGI;Folding Length;Folding number;Lambda;Delta;Cerebellum
LepilemurAQueueR_309f;1934,241211;4087,298828;1,564596;108,905891;7;33,661;0,930144;882,28125
MacacaFascicular_3a21;22655,36133;57743,75;3,135813;1770,321411;65;11,906;6,84429;5732,172832
MacacaFascicularis_32200;15910,18848;46343,59375;2,549948;1222,707153;36;15,009;5,50774;5635,625
MacacaFascicularis_32202;19574,47656;57027,10938;2,732028;1470,208496;50;14,4063;6,11093;7692,375
MacacaFascicularis_32204;16997,75586;46229,14063;2,728749;1316,468872;43;14,0615;5,88087;6636,5
MacacaFascicularis_32205;19499,17578;56314,06641;2,744443;1470,985474;51;14,1183;6,19673;7288,749566
MacacaFascicularis_mf01;16672,35547;44869,14453;2,730325;1295,871094;46;13,7055;6,01302;6779,875404
MacacaFascicularis_mf02;15678,18945;43367,91797;2,626431;1228,32959;44;14,205;5,66135;5493,000327
MacacaMulatta_32198;26023,16797;77682,49219;2,955702;2044,079224;89;12,6009;6,43053;10818,87436
MacacaMulatta_32199;26291,31641;81225,73438;2,898672;2008,001709;68;13,2738;6,45635;10766,75
MacacaMulatta_32201;24617,01758;72568;2,925867;1930,983398;65;12,7726;6,36214;10652,12373
MacacaMulatta_32203;24658,25977;74173,92969;2,888312;1887,942627;66;13,2848;6,41852;10259,49939
MacacaMulatta_mm01;25952,39063;78893,75;2,917415;2067,479736;68;12,6554;6,22496;8985,248929
MacaqueCrabierMa_8f9e;11731,26563;27656,92969;2,652516;1044,617432;50;12,3407;5,05986;3548,03125
MacaqueRhesusMac_bdf8;11973,66797;27757,76563;2,700765;972,81073;27;13,4616;5,57753;3627,828125
MakiCattaLemurCa_dec8;4706,082031;12657,72559;1,791726;392,268616;23;19,3308;2,33168;2035,21875
MangabeyCercoceb_4458;19729,26758;49184,95313;3,039056;1718,559204;58;10,9729;5,99367;6320,457753
MangabeyCouronne_6b65;20510,47266;51689,04297;3,056511;1740,586426;74;11,2411;6,16312;5362,431441
MarsousetOedipom_e834;2791,364258;6254,427246;1,700359;161,926056;9;30,1355;2,17075;750,0500112
MicrocebeDeCoque_e3a9;1924,307861;3884,830322;1,610185;105,562752;7;33,332;1,56306;884,0255596
MicrocebeMignonM_ca6c;626,764221;809,311829;1,492369;43,904423;9;28,7162;-0,0824343;169,890625
MoustacLasiopygi_23cc;17318,61719;41537,89844;2,985837;1471,991455;54;11,6691;5,93087;3697,296875
NycticebusTardig_08cb;1607,093872;3071,111084;1,572872;130,460968;11;22,6798;0,978701;446,65625
Orangutan_80bb;43992,13672;184458,2969;2,807321;3514,669434;113;12,9615;6,03595;25757,33234
OuistitiAPinceau_b4aa;2201,694824;3937,970947;1,82568;142,143051;7;25,5491;2,71476;484,890625
PithecusGermaini_6a2c;14245,42188;37987,58203;2,606734;1112,627563;44;14,1525;5,72713;3756,078448
SaimiriCassiquia_7176;4907,956055;9391,615234;2,279938;395,946686;14;16,2881;4,25144;882,9375
SaimiriCassiquia_eb44;4116,254883;7687,597168;2,185199;331,175873;17;16,7394;4,0595;957,09375
SapajouCapucinCe_d971;14128,9209;40050,73047;2,495847;1082,609497;40;15,467;5,31732;4274,464092
SingeLaineuxLago_0f84;17841,22656;49384,89453;2,740803;1522,773315;52;12,3321;5,55021;5595,984375
VariNoirEtBlancL_4d0e;4691,237793;16032,39063;1,525707;398,961639;26;22,5551;0,481061;3376,940901
VervetCercopithe_72ae;18028,45508;53627,04688;2,621512;1481,102661;65;13,6511;5,34676;4168,422497
