WilsonReederName;English Name;SpecimenID;Wikipedia Name;Hominoidea;Clade;CerebellarVol;Surface Area;CerebralVol;AbsGI;Folding Length;Folding number;Lambda;Delta;CrusVol_obs1;CrusVol_obs2;CrusVol_obs3;CrusVol_1_3;Body mass species mean;CerebroCerebellar;CerebellarCrus;CerebellarMass;CerebralMass;CrusMass;CerebroCerebellarMass;CerebellarCrusMass
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_32200;Crab-eating_macaque;Nonape;Papionini;3,75094208701911;4,20167532454533;4,66598970846298;2,549948;3,08732245289450;1,556302500767287;15,0090;5,507740;NA;NA;NA;NA;3,62849110496712;0,1216052650211228;NA;1,325717478240414;10,90180986826629;NA;0,1216052650211228;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_32202;Crab-eating_macaque;Nonape;Papionini;3,88606044775325;4,29169015744043;4,75608135839676;2,732028;3,16737892810972;1,698970004336019;14,4063;6,110930;NA;NA;NA;NA;3,62849110496712;0,1348897933567328;NA;1,809544812985180;13,41498691601976;NA;0,1348897933567328;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_32204;Crab-eating_macaque;Nonape;Papionini;3,82193909872977;4,23039158714574;4,66491582025794;2,728749;3,11941059463961;1,633468455579586;14,0615;5,880870;NA;NA;NA;NA;3,62849110496712;0,1435566378600017;NA;1,561162079510703;10,87488605739826;NA;0,1435566378600017;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_32205;Crab-eating_macaque;Nonape;Papionini;3,86265302856955;4,29001625434903;4,75061688865624;2,744443;3,16760838408525;1,707570176097936;14,1183;6,196730;NA;NA;NA;NA;3,62849110496712;0,1294303542730080;NA;1,714596463420372;13,24725156669019;NA;0,1294303542730080;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_mf01;Crab-eating_macaque;Nonape;Papionini;3,83122171276788;4,22199696127716;4,65194778940287;2,730325;3,11256180249998;1,662757831681574;13,7055;6,013020;NA;NA;NA;NA;3,62849110496712;0,1511032910259054;NA;1,594889532815808;10,55496225123500;NA;0,1511032910259054;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_mf02;Crab-eating_macaque;Nonape;Papionini;3,73972066960432;4,19529590801201;4,63716857280948;2,626431;3,08931491396538;1,643452676486187;14,2050;5,661350;NA;NA;NA;NA;3,62849110496712;0,1266345165751105;NA;1,291901982357092;10,20181556574924;NA;0,1266345165751105;NA
Macaca_fascicularis;Crab-eating macaque;MacaqueCrabierMa_8f9e;Crab-eating_macaque;Nonape;Papionini;3,54998743631267;4,06934486859244;4,44180396562499;2,652516;3,01895726882841;1,698970004336019;12,3407;5,059860;2,84385542262316;NA;NA;2,84385542262316;3,62849110496712;0,1282872426465644;0,196728819679928;0,834634497765232;6,50598204892966;0,1641966596095036;0,1282872426465644;0,196728819679928
Gorilla_beringei_graueri;Eastern lowland gorilla;GorillaBeringeiG_0854;Eastern gorilla;Ape;Hominoidea;4,66429541819072;4,74668530266246;5,43601611761465;2,742777;3,64382742341724;2,079181246047625;14,2611;5,541840;NA;NA;NA;NA;NA;0,1691528426415545;NA;NA;NA;NA;NA;NA
Gorilla_gorilla_gorilla;Western lowland gorilla;Gorilla_kinyani;Western lowland gorilla;Ape;Hominoidea;4,76642897720895;4,75365264720817;5,37601031115903;3,056058;3,65651799528221;2,029383777685210;12,1509;6,431020;4,11750329942923;NA;NA;4,11750329942923;NA;0,2457076430925899;0,224426595941841;NA;NA;NA;NA;NA
Lophocebus_albigena;Grey-cheeked mangabey;MangabeyCercoceb_4458;Grey-cheeked_mangabey;Nonape;Papionini;3,80074853277651;4,29511096300847;4,69183226187139;3,039056;3,23516449808373;1,763427993562937;10,9729;5,993670;NA;NA;NA;NA;3,84198480459011;0,1285038889087582;NA;0,909418381726619;7,07697167338130;NA;0,1285038889087582;NA
Cebus_capucinus;White-faced sapajou;SapajouCapucinCe_d971;White-headed_capuchin;Nonape;Cebidae;3,63088167310477;4,15010899376140;4,60261044142393;2,495847;3,03447183254315;1,602059991327962;15,4670;5,317320;NA;NA;NA;NA;3,45651785780526;0,1067262454851301;NA;1,494045470814401;13,99885720727019;NA;0,1067262454851301;NA
Pongo_pygmaeus;Bornean orangutan;Orangutan_80bb;Orangutan;Ape;Hominoidea;4,41090088159110;4,64337505638853;5,26589819448745;2,807321;3,54588448447938;2,053078443483420;12,9615;6,035950;3,78397500341267;3,84502690463196;NA;3,78397500341267;4,76746755537360;0,1396377000811396;0,236088113463384;0,439980395955041;3,15087111646339;0,1038741416418981;0,1396377000811396;0,236088113463384
Macaca_mulatta;Rhesus monkey;MacaqueRhesusMac_bdf8;Rhesus_macaque;Nonape;Papionini;3,55948393941226;4,07822721098387;4,44338450452000;2,700765;2,98802835217752;1,431363764158987;13,4616;5,577530;2,69897000433602;NA;NA;2,69897000433602;3,83206161459073;0,1306469979730858;0,137875171266814;0,533853783306345;4,08623077138231;0,0736051818047991;0,1306469979730858;0,137875171266814
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32198;Rhesus_macaque;Nonape;Papionini;4,03418207734438;4,41536016494432;4,89032315004880;2,955702;3,31049772408462;1,949390006644913;12,6009;6,430530;NA;NA;NA;NA;3,83206161459073;0,1392704334657366;NA;1,592650428382158;11,43566792138967;NA;0,1392704334657366;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32199;Rhesus_macaque;Nonape;Papionini;4,03208462901083;4,41981233183804;4,90969364658815;2,898672;3,30276407809895;1,832508912706236;13,2738;6,456350;NA;NA;NA;NA;3,83206161459073;0,1325534337384959;NA;1,584977182393640;11,95726989253643;NA;0,1325534337384959;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32201;Rhesus_macaque;Nonape;Papionini;4,02743620235423;4,39123543580054;4,86074515393543;2,925867;3,28577853986537;1,812913356642855;12,7726;6,362140;NA;NA;NA;NA;3,83206161459073;0,1467881673740491;NA;1,568103007507728;10,68276166642132;NA;0,1467881673740492;NA
