...1;CerebellarVol;SurfaceArea;CerebralVol;AbsGI;FoldingLength;FoldingNumber;Lambda;Delta;CrusVol_1_3;CerebroCerebellar;CerebellarCrus;CerebellarVol-95%CI;SurfaceArea-95%CI;CerebralVol-95%CI;AbsGI-95%CI;FoldingLength-95%CI;FoldingNumber-95%CI;Lambda-95%CI;Delta-95%CI;CrusVol_1_3-95%CI;CerebroCerebellar-95%CI;CerebellarCrus-95%CI;CerebellarVol+95%CI;SurfaceArea+95%CI;CerebralVol+95%CI;AbsGI+95%CI;FoldingLength+95%CI;FoldingNumber+95%CI;Lambda+95%CI;Delta+95%CI;CrusVol_1_3+95%CI;CerebroCerebellar+95%CI;CerebellarCrus+95%CI
55;2015,214294839911;3,82250726258933;15991,14720580791;2,20829909384797;2,67803788966808;1,299462342265970;20,0767854111313;4,033298771466610;343,728485010682;12,8853752019172;15,0816269275691;1062,557443351364;3,59577465482317;8413,83032765447;1,87662076851331;2,44853888509246;1,093968146190670;17,14274446126310;2,9922748473928902;176,2260205979612;10,85928273433460;12,16808385238300;3821,99445266537;4,04923987035550;30392,43471755368;2,53997741918263;2,90753689424370;1,50495653834127;23,0108263609996;5,07432269554032;670,441691907022;14,9114676694998;17,9951700027551
56;1893,634616352070;3,79655696702240;14960,38078658791;2,17478424277058;2,64722175831411;1,271405165175910;20,6190935661644;3,922293909935650;326,872294383087;12,9434643701688;15,0209858608318;991,401822497641;3,56730715738443;7815,80329601597;1,83919494973291;2,41518559144053;1,063568609235740;17,65263453522060;2,8690913527692099;166,2510230414843;10,88993314343430;12,07706619088960;3616,95124910403;4,02580677666036;28635,95523108799;2,51037353580826;2,87925792518769;1,47924172111607;23,5855525971083;4,97549646710209;642,675725421553;14,9969955969033;17,9649055307741
57;1323,977374452167;3,66645128718245;10433,04731993945;2,04862872540261;2,49633381195194;1,149203297073330;22,9338707759418;3,457359218180710;257,601091776254;12,9981352127645;14,8297208481329;648,526689506220;3,41362975184252;5099,42816540153;1,67687812438490;2,24051552793628;0,919369273290398;19,66167709799520;2,2919649982487500;121,2542067580964;10,70935607259080;11,58281103982160;2702,92050647276;3,91927282252237;21345,23182787549;2,42037932642032;2,75215209596761;1,37903732085625;26,2060644538884;4,62275343811266;547,266146540412;15,2869143529382;18,0766306564442
58;2055,019373661474;3,83817819148358;16494,79624611901;2,23747106382662;2,69931515898621;1,317590014758660;19,4357204894874;4,161267166473860;338,709307622648;12,6982246987348;14,9228292222737;1048,215949381980;3,59971633950444;8394,68551694049;1,88917819109531;2,45792423438901;1,101600885870830;16,34956966742210;3,0677024456401401;167,9746353764674;10,59002092136740;11,89301331779080;4028,84980772712;4,07664004346272;32410,77973104849;2,58576393655793;2,94070608358342;1,53357914364649;22,5218713115526;5,25483188730758;682,984039900384;14,8064284761022;17,9526451267565
59;4059,885998459341;4,08358167002021;31773,51747764429;2,52129087998673;2,96207752736324;1,541108404698500;15,9865362424191;5,256266681197190;658,635482236725;13,0191699950042;16,6702879548862;2253,659097933913;3,87456336403796;17610,58791070166;2,20269018317943;2,75113295905557;1,349265769143780;13,29877258176420;4,2597867192532597;352,3417904204837;10,74412548128200;13,86718595294920;7313,73894818299;4,29259997600246;57326,67290957828;2,83989157679402;3,17302209567091;1,73295104025322;18,6742999030740;6,25274664314111;1231,192865153767;15,2942145087265;19,4733899568232
60;1417,918190467779;3,58284118533993;8726,89143014046;1,92113725128932;2,45405197929885;1,232057116635790;22,1158617183016;2,552343037276000;359,644691372615;16,7038832054014;15,2255394894158;400,169988867098;3,13495717033672;2451,92248340646;1,27370116883555;2,00040507430568;0,827532942138712;16,31094868406770;0,5161368589647150;96,6601849467761;13,12534702273190;9,90951837445655;5024,09488665362;4,03072520034314;31060,78375187940;2,56857333374309;2,90769888429202;1,63658129113287;27,9207747525356;4,58854921558729;1338,134249419527;20,2824193880708;20,5415606043751
61;1483,112666950492;3,56411487321253;8592,19592738961;1,84742700706616;2,43599364287682;1,227176260626000;22,7701911130923;2,234760929739470;382,168873879532;17,7171913029824;15,1245641240752;444,767018098961;3,13768718320671;2565,69914436546;1,23040501881167;2,00410423364768;0,841972712109439;17,24462618823380;0,2943136160827370;109,4266699324211;14,27381226615880;10,05008156222610;4945,56271791613;3,99054256321834;28774,15733515674;2,46444899532065;2,86788305210595;1,61237980914257;28,2957560379508;4,17520824339621;1334,711622427552;21,1605703398060;20,1990466859244
62;1239,448945252068;3,45371681590998;6518,39392905235;1,70123633644109;2,30331331075867;1,152061116848800;25,5367715338676;1,609822127455400;422,560286023300;19,3500995868816;15,9029013361452;472,668937299449;3,11234335725369;2477,65961215693;1,20510607433091;1,95763737463043;0,843020997940913;21,11366466401420;0,0515933906761135;153,9349336250604;16,47832345293160;11,71147679415660;3250,12618062781;3,79509027456627;17149,03015968249;2,19736659855126;2,64898924688692;1,46110123575669;29,9598784037210;3,16805086423468;1159,952397543504;22,2218757208315;20,0943258781338
63;975,667629157779;3,36693449437424;5013,99144566136;1,65335136312790;2,19494782996988;1,072834254137920;27,4519621963168;1,381822726313410;412,138399321792;19,7647771056132;16,3984421650233;376,755592826475;3,02996119898086;1930,02746598986;1,16239618726592;1,85377592453764;0,767439771574103;23,08645065404960;-0,1593595034280530;151,5997792573975;16,88128358951980;12,23263210809580;2526,64417121148;3,70390778976763;13025,77847215850;2,14430653898987;2,53611973540213;1,37822873670175;31,8174737385840;2,92300495605487;1120,437384721565;22,6482706217066;20,5642522219509
64;513,173442977893;3,15680246535289;2588,00035460717;1,57455994583106;1,96086333930685;0,952011462084886;29,9022878844524;0,948826932276241;343,525810953658;20,2024232679738;16,9701571770934;222,594648640277;2,86082465252612;1119,95800381946;1,13559123697706;1,66151218304623;0,681685147816425;26,07214083370530;-0,4244111208376300;139,9820969339221;17,37815740385870;13,13042482082040;1183,07867770609;3,45278027817966;5980,35445311799;2,01352865468506;2,26021449556747;1,22233777635335;33,7324349351995;2,32206498539011;843,036255179652;23,0266891320888;20,8098895333663
65;2047,031378687623;3,60339040986609;10678,09435564606;1,72307965282880;2,49389692223022;1,306990460610330;22,4688822987333;1,764495816290670;484,735741486222;19,4223183952231;15,1536447042642;861,725165972411;3,29691036486451;4482,86120272420;1,27351125186674;2,18371458476585;1,028413007842570;18,50008264927320;0,3552526720667720;193,6223869374181;16,66927614502920;11,27281164125370;4862,73075314363;3,90987045486767;25435,02774495681;2,17264805379087;2,80407925969460;1,58556791337809;26,4376819481934;3,17373896051457;1213,541175639692;22,1753606454169;19,0344777672746
66;2241,730045650332;3,64996005347987;11874,14932128012;1,78597098353932;2,54923825807488;1,342984196725680;21,0972319248888;2,135762593264940;459,471088889384;19,1509066166832;14,5718694095865;1001,944491469976;3,36461110737164;5294,89508761212;1,36360526703256;2,26059644990003;1,082597195064370;17,40421571487400;0,8141080641832980;193,6863066007998;16,44601343360240;10,86585270721240;5015,60080459011;3,93530899958809;26628,55821901459;2,20833670004608;2,83788006624972;1,60337119838699;24,7902481349036;3,45741712234659;1089,977320700944;21,8557997997641;18,2778861119607
67;673,801616937146;3,33553542335641;4214,63556472280;1,74075829890861;2,20031049419407;1,049397026447790;23,7797609600286;1,884980694154670;196,524523497523;16,2043797827427;14,2057720864328;187,753616758691;2,88303738906054;1169,37399417357;1,08231292692994;1,74215621866640;0,639477542369386;17,91702823417920;-0,1829041962813430;51,4683836654285;12,39615511985540;8,74603896125227;2418,10851276775;3,78803345765228;15190,30954333812;2,39920367088728;2,65846476972173;1,45931651052618;29,6424936858781;3,95286558459069;750,400257116894;20,0126044456299;19,6655052116134
