WilsonReederName;English Name;SpecimenID;Wikipedia Name;Hominoidea;Clade;CerebellarVol;SurfaceArea;CerebralVol;AbsGI;FoldingLength;FoldingNumber;Lambda;Delta;CrusVol_obs1;CrusVol_obs2;CrusVol_obs3;CrusVol_1_3;BodyMass;CerebroCerebellar;CerebellarCrus;CerebellarMass;CerebralMass;CrusMass;ROC;ROCCrus
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_32205;Crab-eating_macaque;Nonape;Papionini;7288,7495660;19499,175780;56314,066410;2,744443;1470,985474;51;14,1183;6,1967300;NA;NA;NA;NA;4,251;12,94303542730080;NA;1714,596463420372;13247,25156669019;NA;NA;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_mf01;Crab-eating_macaque;Nonape;Papionini;6779,8754040;16672,355470;44869,144530;2,730325;1295,871094;46;13,7055;6,0130200;NA;NA;NA;NA;4,251;15,11032910259054;NA;1594,889532815808;10554,96225123500;NA;NA;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_mf02;Crab-eating_macaque;Nonape;Papionini;5491,8753270;15678,189450;43367,917970;2,626431;1228,329590;44;14,2050;5,6613500;NA;NA;NA;NA;4,251;12,66345165751105;NA;1291,901982357092;10201,81556574924;NA;NA;NA
Macaca_fascicularis;Crab-eating macaque;MacaqueCrabierMa_8f9e;Crab-eating_macaque;Nonape;Papionini;3548,0312500;11731,265630;27656,929690;2,652516;1044,617432;50;12,3407;5,0598600;698,00;NA;NA;698,00;4,251;12,82872426465643;19,6728819679928;834,634497765232;6505,98204892966;164,1966596095036;2850,031250;24,4909595289525
Gorilla_beringei_graueri;Eastern lowland gorilla;GorillaBeringeiG_0854;Eastern gorilla;Ape;Hominoidea;46163,1481300;55806,566410;272907,906300;2,742777;4403,798340;120;14,2611;5,5418400;NA;NA;NA;NA;130,000;16,91528426415545;NA;355,101139461538;2099,29158692308;NA;NA;NA
Gorilla_gorilla_gorilla;Western lowland gorilla;Gorilla_kinyani;Western lowland gorilla;Ape;Hominoidea;58402,1690700;56709,085940;237689,671900;3,056058;4534,380859;107;12,1509;6,4310200;13107,00;NA;NA;13107,00;120,950;24,57076430925899;22,4426595941841;482,862084084332;1965,18951550227;108,3670938404299;45295,169070;28,9368607494194
Lophocebus_albigena;Grey-cheeked mangabey;MangabeyCercoceb_4458;Grey-cheeked_mangabey;Nonape;Papionini;6320,4577530;19729,267580;49184,953130;3,039056;1718,559204;58;10,9729;5,9936700;NA;NA;NA;NA;6,950;12,85038889087582;NA;909,418381726619;7076,97167338129;NA;NA;NA
Cebus_capucinus;White-faced sapajou;SapajouCapucinCe_d971;White-headed_capuchin;Nonape;Cebidae;4274,4640920;14128,920900;40050,730470;2,495847;1082,609497;40;15,4670;5,3173200;NA;NA;NA;NA;2,861;10,67262454851301;NA;1494,045470814400;13998,85720727018;NA;NA;NA
Pongo_pygmaeus;Bornean orangutan;Orangutan_80bb;Orangutan;Ape;Hominoidea;25757,3323400;43992,136720;184458,296900;2,807321;3514,669434;113;12,9615;6,0359500;6081,00;6998,8535270;NA;6081,00;58,542;13,96377000811396;23,6088113463384;439,980395955041;3150,87111646339;103,8741416418981;19676,332340;30,9051498771341
Macaca_mulatta;Rhesus monkey;MacaqueRhesusMac_bdf8;Rhesus_macaque;Nonape;Papionini;3626,4687500;11973,667970;27757,765630;2,700765;972,810730;27;13,4616;5,5775300;500,00;NA;NA;500,00;6,793;13,06469979730858;13,7875171266814;533,853783306345;4086,23077138231;73,6051818047991;3126,468750;15,9924835327396
